Month,Views of page Black,Views of page Blue,Views of page Brown,Views of page Green,Views of page Grey,Views of page Orange,Views of page Purple,Views of page Red,Views of page Violet,Views of page White,Views of page Yellow,Total,Percentage
201008,0,0,0,0,0,0,0,0,0,0,0,0,0
201007,0,0,0,0,0,0,0,0,0,0,0,0,0
201006,0,0,0,0,0,0,0,0,0,0,0,0,0
201005,0,0,0,0,0,0,0,0,0,0,0,0,0
201004,0,0,0,0,0,0,0,0,0,0,0,0,0
201003,0,0,0,0,0,0,0,0,0,0,0,0,0
201002,0,0,0,0,0,0,0,0,0,0,0,0,0
201001,0,0,0,0,0,0,0,0,0,0,0,0,0
200912,0,0,0,0,0,0,0,0,0,0,0,0,0
200911,0,0,0,0,0,0,0,0,0,0,0,0,0
200910,0,0,0,0,0,0,0,0,0,0,0,0,0
200909,0,0,0,0,0,0,0,0,0,0,0,0,0
200908,0,0,0,0,0,0,0,0,0,0,0,0,0
200907,0,0,0,0,0,0,0,0,0,0,0,0,0
200906,0,0,0,0,0,0,0,0,0,0,0,0,0
200905,0,0,0,0,0,0,0,0,0,0,0,0,0
200904,0,0,0,0,0,0,0,0,0,0,0,0,0
200903,0,0,0,0,0,0,0,0,0,0,0,0,0
200902,0,0,0,0,0,0,0,0,0,0,0,0,0
200901,0,0,0,0,0,0,0,0,0,0,0,0,0
200812,0,0,0,0,0,0,0,0,0,0,0,0,0
200811,0,0,0,0,0,0,0,0,0,0,0,0,0
200810,0,0,0,0,0,0,0,0,0,0,0,0,0
200809,0,0,0,0,0,0,0,0,0,0,0,0,0
200808,0,0,0,0,0,0,0,0,0,0,0,0,0
200807,0,0,0,0,0,0,0,0,0,0,0,0,0
200806,0,0,0,0,0,0,0,0,0,0,0,0,0
200805,0,0,0,0,0,0,0,0,0,0,0,0,0
200804,0,0,0,0,0,0,0,0,0,0,0,0,0
200803,0,0,0,0,0,0,0,0,0,0,0,0,0
200802,0,0,0,0,0,0,0,0,0,0,0,0,0
200801,0,0,0,0,0,0,0,0,0,0,0,0,0
200712,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,14534,10817,3142,6465,5812,5420,5803,11685,1557,6138,419475567,100
Percentage,19.2,14.3,4.2,8.6,7.7,7.2,7.7,15.5,2.1,8.1,5.6,100
