Month|Views of page Atlantic Philanthropies|Views of page Bill & Melinda Gates Foundation|Views of page Chan Zuckerberg Initiative|Views of page Draper Richards Kaplan Foundation|Views of page Field Foundation of New York|Views of page Ford Foundation|Views of page Good Ventures|Views of page Hewlett Foundation|Views of page Jasmine Social Investments|Views of page Laura and John Arnold Foundation|Views of page Mulago Foundation|Views of page Omidyar Network|Views of page Open Philanthropy Project|Views of page Peery Foundation|Views of page Robert Wood Johnson Foundation|Views of page Rockefeller Foundation|Views of page Skoll Foundation|Views of page Smith Richardson Foundation|Views of page Thiel Foundation|Total|Percentage
201302|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201301|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201212|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201211|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201210|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201209|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201208|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201207|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201206|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201205|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201204|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201203|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201202|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201201|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201112|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201111|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201110|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201109|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201108|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201107|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201106|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201105|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201104|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201103|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201102|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201101|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201012|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201011|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201010|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201009|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201008|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201007|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201006|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201005|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201004|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201003|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201002|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
201001|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200912|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200911|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200910|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200909|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200908|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200907|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200906|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200905|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200904|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200903|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200902|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200901|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200812|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200811|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200810|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200809|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200808|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200807|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200806|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200805|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200804|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200803|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200802|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200801|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200712|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Total|3215|46919|4864|1115|97|23735|2300|4211|899|1427|891|7118|1028|716|5824|19990|2629|1495|1226|129699|100
Percentage|2.5|36.2|3.8|0.9|0.1|18.3|1.8|3.2|0.7|1.1|0.7|5.5|0.8|0.6|4.5|15.4|2|1.2|0.9|100
