Month|Views of page Common subexpression elimination|Views of page Compiler|Views of page Compiler correctness|Views of page Constant folding|Views of page Data-flow analysis|Views of page Loop invariant|Views of page Optimizing compiler|Views of page Peephole optimization|Views of page Reaching definition|Views of page Strength reduction|Total|Percentage
200901|0|0|0|0|0|0|0|0|0|0|0|0
200812|0|0|0|0|0|0|0|0|0|0|0|0
200811|0|0|0|0|0|0|0|0|0|0|0|0
200810|0|0|0|0|0|0|0|0|0|0|0|0
200809|0|0|0|0|0|0|0|0|0|0|0|0
200808|0|0|0|0|0|0|0|0|0|0|0|0
200807|0|0|0|0|0|0|0|0|0|0|0|0
200806|0|0|0|0|0|0|0|0|0|0|0|0
200805|0|0|0|0|0|0|0|0|0|0|0|0
200804|0|0|0|0|0|0|0|0|0|0|0|0
200803|0|0|0|0|0|0|0|0|0|0|0|0
200802|0|0|0|0|0|0|0|0|0|0|0|0
200801|0|0|0|0|0|0|0|0|0|0|0|0
200712|0|0|0|0|0|0|0|0|0|0|0|0
Total|2790|192280|882|2957|8939|5909|13065|7007|1111|2744237684|100
Percentage|1.2|80.9|0.4|1.2|3.8|2.5|5.5|2.9|0.5|1.2|100
