Month|Views of page Ajapsandali|Views of page Ajvar|Views of page Alinazik kebab|Views of page Baba ghanoush|Views of page Badrijani|Views of page Baghara baingan|Views of page Baingan bharta|Views of page Beguni|Views of page Caponata|Views of page Confit byaldi|Views of page Dahi baigana|Views of page Di san xian|Views of page Eggplant papucaki|Views of page Eggplant salads and appetizers|Views of page Escalivada|Views of page Fried eggplant|Views of page Israeli eggplant salad|Views of page Kashk e badamjan|Views of page Kyopolou|Views of page List of eggplant dishes|Views of page Malidzano|Views of page Mirza Ghassemi|Views of page Moussaka|Views of page Parmigiana|Views of page Pasta alla Norma|Views of page Pindjur|Views of page Pisto|Views of page Ratatouille|Views of page Rollatini|Views of page Stuffed eggplant|Views of page Tepsi Baytinijan|Views of page Tombet|Views of page Zaalouk|Total|Percentage
200902|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200901|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200812|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200811|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200810|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200809|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200808|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200807|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200806|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200805|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200804|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200803|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200802|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200801|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
200712|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
Total|3504|42882|3339|296475|812|3228|23394|1551|70631|44397|1282|646|429|10075|12055|1349|1216|725|2561|8712|1122|3139|254939|90494|21924|4474|12271|465953|11387|4376|1567|3232|22131406354|100
Percentage|0.2|3|0.2|21.1|0.1|0.2|1.7|0.1|5|3.2|0.1|0|0|0.7|0.9|0.1|0.1|0.1|0.2|0.6|0.1|0.2|18.1|6.4|1.6|0.3|0.9|33.1|0.8|0.3|0.1|0.2|0.2|100
